id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
B,246,0,12,-2,0.0,0.0,-2682.571428571448,-12515306.225684395
C,246,1,10,-9,0.0,0.0,-14754.142857142964,-12530060.368541539
D,246,6,7,0,0.0,0.0,-14754.142857142964,-12544814.511398682
E,246,6,7,0,0.0,0.0,-14754.142857142964,-12559568.654255826
F,246,1,10,0,0.0,4.125,-14754.142857142964,-12574322.79711297
G,246,1,10,-2,0.0,0.0,-17436.71428571441,-12591759.511398684
H,246,4,12,-1,0.0,0.0,-18778.000000000135,-12610537.511398684
I,246,4,12,0,0.0,0.0,-18778.000000000135,-12629315.511398684
J,246,8,30,0,0.0,0.0,-18778.000000000135,-12648093.511398684
A,246,0,12,0,0.0,0.0,0,-12648093.511398684
B,246,0,12,-2,0,0.0,0,-12648093.511398684
C,246,1,10,-9,0,0.0,0,-12648093.511398684
D,246,6,7,0,0.0,0.0,0,-12648093.511398684
E,246,6,7,0,0.0,0.0,0,-12648093.511398684
F,246,1,10,0,0.0,4.125,0,-12648093.511398684
G,246,0,12,0,0,0.0,0,-12648093.511398684
H,246,4,12,-1,0,0.0,0,-12648093.511398684
I,246,4,12,0,0.0,0.0,0,-12648093.511398684
J,246,8,30,0,0.0,0.0,0,-12648093.511398684
A,251.2619047619048,0,12,-2,0.0,0.0,-8542.904761904763,-12656636.41616059
B,251.2619047619048,0,12,-2,0.0,0.0,-17085.809523809527,-12673722.225684399
C,251.2619047619048,1,10,-9,0.0,0.0,-55528.88095238096,-12729251.10663678
D,251.2619047619048,6,7,0,0.0,0.0,-55528.88095238096,-12784779.98758916
E,251.2619047619048,6,7,0,0.0,0.0,-55528.88095238096,-12840308.86854154
F,251.2619047619048,1,10,0,0.0,4.125,-55528.88095238096,-12895837.749493921
G,251.2619047619048,0,12,0,0.0,0.0,-55528.88095238096,-12951366.630446302
H,251.2619047619048,4,12,-1,0.0,0.0,-59800.333333333336,-13011166.963779636
I,251.2619047619048,4,12,0,0.0,0.0,-59800.333333333336,-13070967.29711297
